dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,D,DB010,Year of the survey,Basic data,Basic household data,All,true,,Basic variable from original data.
EU-SILC public microdata,D,DB020,Country,Basic data,Basic household data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,D,DB030,Household ID,Basic data,Basic household data,All,true,"This is the unique identifier used to link all 4 files together (RX030 in the Personal Register, PX030 in the Personal Data file, DB030 in the Household Register and HB030 Household Data file).  Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Household ID = Household number + split number (2 digits) The split number for the first wave is '00'.  If the household remains intact, it keeps the same household ID from one wave to the next.  If it ""splits-off"", the initial household will keep the original household ID, and the other household (i.e. the split-off household) will keep the same household number, but will be assigned the next available unique split number in sequence.",Basic variable from original data.
EU-SILC public microdata,D,DB040,Region,Basic data,Basic household data,All,true,NUTS classification.  Select hyperlink for code definitions.,"Basic categorical variable from original data.  Missing values are replaced by the most frequent region of the country.  Since there are very few missing values, this has no great impact on the results.  Used to simulate household structure for a complete population, and simulated during 1st stage of synthesisation."
EU-SILC public microdata,D,DB090,Household cross-sectional weight,Basic data,Basic household data,All,true,See Note 3.,Basic continuous variable from original data.  Variable simulated during 1st stage of synthesisation.
EU-SILC public microdata,R,RB010,Year of the survey,Basic data,Basic personal data,All,true,,Basic variable from original data.
EU-SILC public microdata,R,RB020,Country,Basic data,Basic personal data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,R,RB030,Personal ID,Basic data,Basic personal data,All,true,"Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Personal ID = Household ID + personal number (2 digits).",
EU-SILC public microdata,R,RB050,Personal cross-sectional weight,Basic data,Basic personal data,All,true,See Note 3.,Basic variable from original data.
EU-SILC public microdata,R,RB070,Quarter of Birth,Basic data,Demographic data,All,true,Quarter of the calendar year. 1 January - March 2 April - June 3 July - September 4 October - December,
EU-SILC public microdata,R,RB080,Year of birth,Basic data,Demographic data,All,true,"Discrete years from 80 years prior to the situation date; so 1932 onwards (where 1932 includes those born earlier) for the 2013 data, 1931 onwards for the 2012 data, etc.",Basic variable from original data.
EU-SILC public microdata,R,RB090,Gender,Basic data,Demographic data,All,true,1 Male 2 Female,"Basic categorical variable from original data.  If missing this is set to ""Male"".  Most of the original data contain no missing values for the ""Sex"" variable; if there are any missing values, their proportion is far below 1%, therefore this recoding has no great impact on the results.  Variable simulated during 1st stage of synthesisation."
EU-SILC public microdata,R,RB200,Residential Status,Basic data,Demographic data,All,true,1 currently living in the household 2 temporarily absent,
EU-SILC public microdata,R,RB210,Basic activity status,Basic data,Demographic data,All,true,1 at work 2 unemployed 3 in retirement or early retirement 4 other inactive person,
EU-SILC public microdata,R,RB245,Respondent status,Basic data,Basic personal data,All,true,1 current household member (hm) aged 16 and over (all hm aged 16+ interviewed) 2 selected respondent (only selected hm aged 16+ interviewed) 3 not selected respondent (only selected hm aged 16+ interviewed) 4 not eligible person (hm aged less than 16),
EU-SILC public microdata,R,RB250,Data status,Basic data,Basic personal data,All,true,"Information or interview completed: 11 information only completed from interview 12 information only completed from registers  13 information completed from both interview and registers 14 information completed from full-record imputation Interview not completed, though contact made: 21 individual unable to respond and no proxy possible 22 failed to return self-completed questionnaire 23 refusal to cooperate Individual not contacted because: 31 temporarily away and no proxy possible  32 not contacted for other reasons Information or interview not completed: 33 reason unknown",
