household_id,income,carbon_emissions,vehicle_type
0,15418.28,2.1031,diesel
1,14341.82,2.1515,electric
2,16296.34,2.1285,hybrid
3,16606.13,2.4454,diesel
4,19613.30,2.2932,hybrid
5,18437.02,2.5063,diesel
6,19990.71,2.5479,gasoline
7,18815.56,2.1582,diesel
8,21389.46,3.0706,diesel
9,21061.22,2.9285,diesel
10,25200.43,3.7444,gasoline
11,24357.59,3.6388,diesel
12,26635.12,3.1468,diesel
13,23318.93,3.1136,diesel
14,28641.42,3.6916,diesel
15,24529.85,3.2981,diesel
16,28249.01,3.8582,gasoline
17,27022.34,3.3920,diesel
18,28269.90,3.2444,diesel
19,30166.70,3.9171,diesel
20,33653.55,3.7517,diesel
21,31451.09,4.1068,gasoline
22,32444.55,3.6730,gasoline
23,32830.49,3.6158,gasoline
24,31264.33,3.6443,electric
25,32023.56,3.7921,diesel
26,37530.35,5.1711,gasoline
27,37948.64,4.5115,diesel
28,40465.07,5.6300,hybrid
29,36853.48,5.1314,diesel
30,35672.73,4.3813,electric
31,38047.33,4.6234,diesel
32,43520.99,6.0728,diesel
33,40993.00,5.1609,hybrid
34,41107.50,4.5208,gasoline
35,45572.39,6.6386,electric
36,46554.83,6.7444,electric
37,41436.40,5.9435,gasoline
38,43325.14,4.9493,gasoline
39,46254.89,6.0503,diesel
40,43660.37,5.5023,hybrid
41,47763.25,5.3785,hybrid
42,50850.48,6.0456,diesel
43,46431.94,6.6409,gasoline
44,53126.92,6.4458,gasoline
45,47388.74,5.7787,gasoline
46,50737.98,7.0292,electric
47,48193.07,6.1186,hybrid
48,50235.20,5.5870,gasoline
49,49685.36,6.8283,hybrid
50,54131.49,6.6296,hybrid
51,60401.75,7.8175,gasoline
52,57129.79,7.9526,diesel
53,60386.65,7.8932,electric
54,56693.72,7.5349,diesel
55,55395.54,7.1338,gasoline
56,58082.52,6.3949,diesel
57,59436.21,7.2015,gasoline
58,57048.82,6.2670,gasoline
59,63209.53,6.9838,gasoline
60,58566.96,8.0353,electric
61,69912.68,7.7758,diesel
62,70542.70,8.6663,diesel
63,70345.54,8.7427,diesel
64,68989.45,7.4591,gasoline
65,63602.86,8.0898,gasoline
66,62789.85,7.4452,diesel
67,65575.88,8.4644,diesel
68,75427.56,9.2230,electric
69,74793.47,9.6586,electric
70,70733.70,8.6877,electric
71,65058.77,7.3956,gasoline
72,68838.38,8.7751,diesel
73,79211.85,8.6550,hybrid
74,78968.95,11.0720,diesel
75,71101.55,10.2573,hybrid
76,78998.49,9.4009,electric
77,83131.11,11.1418,gasoline
78,77631.24,10.5587,hybrid
79,71745.40,8.3988,gasoline
80,79158.29,10.8579,electric
81,72655.72,8.7432,electric
82,88027.79,9.6721,electric
83,87912.95,11.7811,electric
84,83393.16,10.4987,gasoline
85,75439.96,9.2656,electric
86,91174.97,12.9723,electric
87,86056.77,10.9761,electric
88,85737.81,11.5090,electric
89,83018.10,11.6192,electric
90,85476.26,10.0994,gasoline
91,87691.70,11.6934,electric
92,88318.58,10.6351,electric
93,92431.29,11.1422,gasoline
94,91565.92,12.1721,diesel
95,83217.07,10.9141,gasoline
96,86171.49,11.8636,gasoline
97,83367.97,9.3397,gasoline
98,98473.32,13.7917,hybrid
99,94526.33,12.6148,electric
