household_id,person_id,age,income,region_code,housing_status,household_size,energy_transport_fuel,energy_heating_fuel,energy_natural_gas
1,101,42,32000.0,11,owner,3,1200.0,800.0,600.0
1,102,39,28000.0,11,owner,3,1200.0,800.0,600.0
1,103,12,0.0,11,owner,3,1200.0,800.0,600.0
2,201,67,18500.0,75,tenant,1,400.0,1200.0,900.0
3,301,28,24000.0,33,tenant,2,900.0,600.0,400.0
3,302,26,22000.0,33,tenant,2,900.0,600.0,400.0
4,401,55,45000.0,69,owner,4,1800.0,1000.0,800.0
4,402,52,38000.0,69,owner,4,1800.0,1000.0,800.0
4,403,22,12000.0,69,owner,4,1800.0,1000.0,800.0
4,404,18,0.0,69,owner,4,1800.0,1000.0,800.0
5,501,35,29000.0,13,tenant,2,1000.0,500.0,300.0
5,502,3,0.0,13,tenant,2,1000.0,500.0,300.0
